test,subject,stimulus,result,section,signal_type,source,stimulus_signal
test_3,2,Hybrid,74,1,speech,horizontal,Hybrid_speech
test_3,3,Hybrid,84,1,speech,horizontal,Hybrid_speech
test_3,4,Hybrid,81,1,speech,horizontal,Hybrid_speech
test_3,5,Hybrid,80,1,speech,horizontal,Hybrid_speech
test_3,6,Hybrid,90,1,speech,horizontal,Hybrid_speech
test_3,7,Hybrid,72,1,speech,horizontal,Hybrid_speech
test_3,8,Hybrid,88,1,speech,horizontal,Hybrid_speech
test_3,9,Hybrid,81,1,speech,horizontal,Hybrid_speech
test_3,10,Active,86,1,speech,horizontal,Active_speech
test_3,11,Active,85,1,speech,horizontal,Active_speech
test_3,12,Active,91,1,speech,horizontal,Active_speech
test_3,13,Active,76,1,speech,horizontal,Active_speech
test_3,14,Active,81,1,speech,horizontal,Active_speech
test_3,15,Active,70,1,speech,horizontal,Active_speech
test_3,17,Active,68,1,speech,horizontal,Active_speech
test_3,18,Active,81,1,speech,horizontal,Active_speech
test_3,19,Active,71,1,speech,horizontal,Active_speech
test_3,1,Active,84,1,speech,horizontal,Active_speech
test_3,20,Active,80,1,speech,horizontal,Active_speech
test_3,2,Active,74,1,speech,horizontal,Active_speech
test_3,3,Active,71,1,speech,horizontal,Active_speech
test_3,4,Active,81,1,speech,horizontal,Active_speech
test_3,5,Active,79,1,speech,horizontal,Active_speech
test_3,6,Active,90,1,speech,horizontal,Active_speech
test_3,7,Active,72,1,speech,horizontal,Active_speech
test_3,8,Active,100,1,speech,horizontal,Active_speech
test_3,9,Active,81,1,speech,horizontal,Active_speech
test_3,10,Reference,100,1,speech,horizontal,Reference_speech
test_3,11,Reference,100,1,speech,horizontal,Reference_speech
test_3,12,Reference,100,1,speech,horizontal,Reference_speech
test_3,13,Reference,99,1,speech,horizontal,Reference_speech
test_3,14,Reference,100,1,speech,horizontal,Reference_speech
test_3,15,Reference,100,1,speech,horizontal,Reference_speech
test_3,17,Reference,100,1,speech,horizontal,Reference_speech
test_3,18,Reference,100,1,speech,horizontal,Reference_speech
test_3,19,Reference,100,1,speech,horizontal,Reference_speech
test_3,1,Reference,100,1,speech,horizontal,Reference_speech
test_3,20,Reference,100,1,speech,horizontal,Reference_speech
test_3,2,Reference,100,1,speech,horizontal,Reference_speech
test_3,3,Reference,100,1,speech,horizontal,Reference_speech
test_3,4,Reference,100,1,speech,horizontal,Reference_speech
test_3,5,Reference,100,1,speech,horizontal,Reference_speech
test_3,6,Reference,100,1,speech,horizontal,Reference_speech
test_3,7,Reference,100,1,speech,horizontal,Reference_speech
test_3,8,Reference,100,1,speech,horizontal,Reference_speech
test_3,9,Reference,100,1,speech,horizontal,Reference_speech
test_4,10,Passive,91,1,drums,horizontal,Passive_drums
test_4,11,Passive,15,1,drums,horizontal,Passive_drums
test_4,12,Passive,62,1,drums,horizontal,Passive_drums
test_4,13,Passive,70,1,drums,horizontal,Passive_drums
test_4,14,Passive,21,1,drums,horizontal,Passive_drums
test_4,15,Passive,41,1,drums,horizontal,Passive_drums
test_4,17,Passive,58,1,drums,horizontal,Passive_drums
test_4,18,Passive,61,1,drums,horizontal,Passive_drums
test_4,19,Passive,63,1,drums,horizontal,Passive_drums
test_4,1,Passive,61,1,drums,horizontal,Passive_drums
test_4,20,Passive,51,1,drums,horizontal,Passive_drums
test_4,2,Passive,55,1,drums,horizontal,Passive_drums
test_4,3,Passive,31,1,drums,horizontal,Passive_drums
test_4,4,Passive,76,1,drums,horizontal,Passive_drums
test_4,5,Passive,98,1,drums,horizontal,Passive_drums
test_4,6,Passive,76,1,drums,horizontal,Passive_drums
test_4,7,Passive,61,1,drums,horizontal,Passive_drums
test_4,8,Passive,56,1,drums,horizontal,Passive_drums
test_4,9,Passive,75,1,drums,horizontal,Passive_drums
test_4,10,Anchor,70,1,drums,horizontal,Anchor_drums
test_4,11,Anchor,25,1,drums,horizontal,Anchor_drums
test_4,12,Anchor,20,1,drums,horizontal,Anchor_drums
test_4,13,Anchor,69,1,drums,horizontal,Anchor_drums
test_4,14,Anchor,0,1,drums,horizontal,Anchor_drums
test_4,15,Anchor,20,1,drums,horizontal,Anchor_drums
test_4,17,Anchor,12,1,drums,horizontal,Anchor_drums
test_4,18,Anchor,50,1,drums,horizontal,Anchor_drums
test_4,19,Anchor,59,1,drums,horizontal,Anchor_drums
test_4,1,Anchor,61,1,drums,horizontal,Anchor_drums
test_4,20,Anchor,59,1,drums,horizontal,Anchor_drums
test_4,2,Anchor,47,1,drums,horizontal,Anchor_drums
test_4,3,Anchor,53,1,drums,horizontal,Anchor_drums
test_4,4,Anchor,75,1,drums,horizontal,Anchor_drums
test_4,5,Anchor,96,1,drums,horizontal,Anchor_drums
test_4,6,Anchor,58,1,drums,horizontal,Anchor_drums
test_4,7,Anchor,26,1,drums,horizontal,Anchor_drums
test_4,8,Anchor,51,1,drums,horizontal,Anchor_drums
test_4,9,Anchor,62,1,drums,horizontal,Anchor_drums
test_4,10,Hybrid,67,1,drums,horizontal,Hybrid_drums
test_4,11,Hybrid,84,1,drums,horizontal,Hybrid_drums
test_4,12,Hybrid,92,1,drums,horizontal,Hybrid_drums
test_4,13,Hybrid,86,1,drums,horizontal,Hybrid_drums
test_4,14,Hybrid,65,1,drums,horizontal,Hybrid_drums
test_4,15,Hybrid,60,1,drums,horizontal,Hybrid_drums
test_4,17,Hybrid,69,1,drums,horizontal,Hybrid_drums
test_4,18,Hybrid,79,1,drums,horizontal,Hybrid_drums
test_4,19,Hybrid,81,1,drums,horizontal,Hybrid_drums
test_4,1,Hybrid,100,1,drums,horizontal,Hybrid_drums
test_4,20,Hybrid,82,1,drums,horizontal,Hybrid_drums
test_4,2,Hybrid,74,1,drums,horizontal,Hybrid_drums
test_4,3,Hybrid,97,1,drums,horizontal,Hybrid_drums
test_4,4,Hybrid,90,1,drums,horizontal,Hybrid_drums
test_4,5,Hybrid,97,1,drums,horizontal,Hybrid_drums
test_4,6,Hybrid,100,1,drums,horizontal,Hybrid_drums
test_4,7,Hybrid,83,1,drums,horizontal,Hybrid_drums
test_4,8,Hybrid,82,1,drums,horizontal,Hybrid_drums
test_4,9,Hybrid,86,1,drums,horizontal,Hybrid_drums
test_4,10,Active,89,1,drums,horizontal,Active_drums
test_4,11,Active,54,1,drums,horizontal,Active_drums
test_4,12,Active,91,1,drums,horizontal,Active_drums
test_4,13,Active,85,1,drums,horizontal,Active_drums
test_4,14,Active,70,1,drums,horizontal,Active_drums
test_4,15,Active,80,1,drums,horizontal,Active_drums
test_4,17,Active,82,1,drums,horizontal,Active_drums
test_4,18,Active,71,1,drums,horizontal,Active_drums
test_4,19,Active,84,1,drums,horizontal,Active_drums
test_4,1,Active,86,1,drums,horizontal,Active_drums
test_4,20,Active,71,1,drums,horizontal,Active_drums
test_4,2,Active,79,1,drums,horizontal,Active_drums
test_4,3,Active,98,1,drums,horizontal,Active_drums
test_4,4,Active,90,1,drums,horizontal,Active_drums
test_4,5,Active,97,1,drums,horizontal,Active_drums
test_4,6,Active,94,1,drums,horizontal,Active_drums
test_4,7,Active,86,1,drums,horizontal,Active_drums
test_4,8,Active,82,1,drums,horizontal,Active_drums
test_4,9,Active,87,1,drums,horizontal,Active_drums
test_4,10,Reference,100,1,drums,horizontal,Reference_drums
test_4,11,Reference,100,1,drums,horizontal,Reference_drums
test_4,12,Reference,100,1,drums,horizontal,Reference_drums
test_4,13,Reference,100,1,drums,horizontal,Reference_drums
test_4,14,Reference,100,1,drums,horizontal,Reference_drums
test_4,15,Reference,100,1,drums,horizontal,Reference_drums
test_4,17,Reference,100,1,drums,horizontal,Reference_drums
test_4,18,Reference,100,1,drums,horizontal,Reference_drums
test_4,19,Reference,100,1,drums,horizontal,Reference_drums
test_4,1,Reference,100,1,drums,horizontal,Reference_drums
test_4,20,Reference,100,1,drums,horizontal,Reference_drums
test_4,2,Reference,100,1,drums,horizontal,Reference_drums
test_4,3,Reference,100,1,drums,horizontal,Reference_drums
test_4,4,Reference,100,1,drums,horizontal,Reference_drums
test_4,5,Reference,100,1,drums,horizontal,Reference_drums
test_4,6,Reference,100,1,drums,horizontal,Reference_drums
